term	related_law	term_description
국민주택	주택법 제2조제5호~제6호	"주택청약과 관련하여 주택의 종류는 국민주택과 민영주택으로 나뉩니다.

국가, 지자체, LH 및 지방공사가 건설하는 주거전용면적 85m2 이하 (수도권, 도시지역이 아닌 읍·면은 100m2 이하)의 주택
국가나 지자체의 재정 또는 주택도시기금을 지원받아 건설·개량하는 주거전용 면적 85m2 이하의 주택
주택의 종류 및 청약통장에 대한 자세한 사항은 청약제도안내 > APT > 청약주택을 참고하시기 바랍니다."
민영주택	주택법 제2조제7호	"주택청약과 관련하여 주택의 종류는 국민주택과 민영주택으로 나뉩니다.

국민주택을 제외한 주택을 민영주택이라 합니다.
주택의 종류 및 청약통장에 대한 자세한 사항은 청약제도안내 > APT > 청약주택을 참고하시기 바랍니다."
공공주택	공공주택 특별법 제2조제1호	"공공주택은 공공주택 사업자가 국가 또는 지방자치단체의 재정이나 주택도시기금을 지원받아 건설 또는 매입하여 공급하는 다음에 해당하는 주택을 말합니다.

공공임대주택 : 임대 또는 임대 후 분양전환을 목적으로 공급하는 주택
공공분양주택 : 분양을 목적으로 공급하는 주택으로서 국민주택규모*이하의 주택
* 국민주택규모 : 주거전용면적 85㎡ 이하, 수도권 및 도시지역 외 읍면은 100㎡ 이하
국토교통부 장관은 다음의 자 중에서 공공주택사업의 사업자를 지정 : 국가 또는 지자체, 한국토지주택공사 및 지방공사, 공공기관 중 대통령령으로 정하는 기관 등"
공공건설임대주택	공공주택 특별법 제2조제1의2호	"공공건설임대주택은 공공주택 특별법에 따른 공공주택사업자가 직접 건설하여 공급하는 공공임대주택입니다.

공공주택은 공공임대주택과 공공분양주택으로 구분되고, 공공임대주택은 공공건설임대주택과 공공매입임대주택으로 구분됩니다. (공공주택 특별법 제2조)
85㎡ 초과 공공건설임대주택에 청약 시 2주택 이상을 소유한 자는 1순위 청약을 제한받습니다. (2순위로 청약)"
도시형 생활주택	주택법 제2조제20호	"도시형 생활주택은 300세대 미만의 국민주택규모*에 해당하는 주택으로서 도시지역에 건설하는 원룸형 주택, 단지형 연립주택 또는 단지형 다세대주택 등의 주택을 말합니다.

* 국민주택규모 : 주거전용면적 85㎡ 이하, 수도권 및 도시지역 외 읍면은 100㎡ 이하

도시형 생활주택, 오피스텔, 생활숙박시설, (공공지원)민간임대주택은 아파트 청약신청과 달리 별도의 청약통장 없이 청약신청할 수 있으며 재당첨 제한 등의 당첨자(입주자) 관리제도가 없습니다.
자세한 사항은 청약제도안내 > 오피스텔/생활숙박시설/도시형/(공공지원)민간임대 청약안내 > 청약주택을 참고하시기 바랍니다."
오피스텔	건축법 시행령 별표1 14호의나목	"오피스텔은 업무를 주로 하며, 분양하거나 임대하는 구획 중 일부 구획에서 숙식을 할 수 있도록 한 건축물로서 국토교통부장관이 고시하는 기준에 적합하여야 합니다.

도시형 생활주택, 오피스텔, 생활숙박시설, 민간임대주택은 아파트 청약신청과 달리 별도의 청약통장 없이 청약신청할 수 있으며 재당첨 제한 등의 당첨자(입주자) 관리제도가 없습니다.
자세한 사항은 청약제도안내 > 오피스텔/생활숙박시설/도시형/(공공지원)민간임대 > 청약주택을 참고하시기 바랍니다."
공공지원 민간임대주택	민간임대주택에 관한 특별법 제2조제4호	"공공지원 민간임대주택 임대사업자가 10년 이상 임대할 목적으로 취득하여 임대료 및 임차인의 자격 제한 등을 받아 임대하는 민간임대주택입니다.

* 민간임대주택 : 임대 목적으로 제공하는 주택으로서 임대사업자가 민간임대주택에 관한 특별법(제5조)에 따라 등록한 주택. 민간건설임대주택과 민간매입임대주택으로 구분. (동법 제2조제1호)
도시형 생활주택, 오피스텔, 생활숙박시설, (공공지원)민간임대주택은 아파트 청약신청과 달리 별도의 청약통장 없이 청약신청할 수 있으며 재당첨 제한 등의 당첨자(입주자) 관리제도가 없습니다.
자세한 사항은 청약제도안내 > 오피스텔/생활숙박시설/도시형생활주택/(공공지원)민간임대 > 청약주택을 참고하시기 바랍니다."
청약통장(입주자저축)	주택법 제56조제1항	"1. 주택청약종합저축

??- 국민주택과 민영주택을 공급받기 위해 가입하는 저축

2. 청약저축

??- 국민주택을 공급받기 위해 가입하는 저축

3. 청약예금

??- 민영주택을 공급받기 위해 가입하는 예금

4. 청약부금

??- 주거전용면적 85㎡ 이하의 민영주택을 공급 받기 위해 가입하는 부금

청약저축, 청약예금, 청약부금은 2015년 9월 1일부터 신규가입이 중단되었습니다. (주택청약종합저축 가입 가능)
청약통장의 종류에 따라 청약 신청할 수 있는 주택의 종류가 달라집니다.
청약통장은 1인 1구좌에 한해 가입할 수 있습니다.
청약통장에 대한 자세한 사항은 청약제도안내 > APT > 청약통장을 참고하시기 바랍니다."
주택청약종합저축	주택법 제56조제2항	"주택청약종합저축은 국민주택 및 민영주택을 공급받기 위해 가입하는 저축입니다.

주택청약종합저축은 누구든지 가입 가능하며, 모든 주택에 청약할 수 있습니다.
기존의 청약저축에 청약예부금 기능을 묶어 놓은 청약통장입니다."
청약저축	주택법 부칙 제14조	"청약저축은 국민주택을 공급받기 위해 가입하는 저축입니다.

2015년 9월 1일부터 신규가입이 중단되었습니다. (주택청약종합저축 가입 가능)
청약저축에 대한 자세한 사항은 청약제도안내 > APT > 청약통장을 참고하시기 바랍니다."
청약예금	주택법 부칙 제14조	"청약예금은 민영주택을 공급받기 위해 가입하는 저축입니다.

2015년 9월 1일부터 신규가입이 중단되었습니다. (주택청약종합저축 가입 가능)
청약예금에 대한 자세한 사항은 청약제도안내 > APT > 청약통장을 참고하시기 바랍니다."
청약부금	주택법 부칙 제14조	"청약부금은 주거전용면적 85㎡ 이하의 민영주택을 공급받기 위해 가입하는 저축입니다.

2015년 9월 1일부터 신규가입이 중단되었습니다. (주택청약종합저축 가입 가능)
가입 후 일정요건을 충족하면 청약예금으로 변경할 수 있습니다. (가입 2년 경과하고 납입인정금액이 85㎡ 청약예금 예치금액 이상)
청약예금에 대한 자세한 사항은 청약제도안내 > APT > 청약통장을 참고하시기 바랍니다."
무주택세대구성원	주택공급에 관한 규칙 제2조제4호	"무주택세대구성원이란 세대주)에 속한 자 전원이 주택을 소유하고 있지 않은 세대구성원을 말합니다.

주) 세대(세대에 속한 자)
세대는 다음 각 목의 사람(이하 “세대구성원”이라 함)으로 구성된 집단(주택공급신청자가 세대별 주민등록표등본에 등재되어 있지 않은 경우는 제외)입니다.
주택공급신청자
주택공급신청자의 배우자
주택공급신청자의 직계존속(배우자의 직계존속 포함) 및 직계비속
* 주택공급신청자 또는 주택공급신청자의 배우자와 세대별 주민등록표등본에 함께 등재된 경우에만 인정
주택공급신청자의 배우자의 직계비속
* 주택공급신청자와 세대별 주민등록표등본에 함께 등재되어 있는 경우에만 인정
예) 신청자와 동일한 주민등록표등본 상에 등재된 재혼한 배우자의 직계비속
※ 형제, 자매, 동거인 등은 청약자와 동일한 주민등록표등본에 등재되어 있어도 청약자의 세대에 속한 자가 아닙니다.
※ 배우자 분리세대인 경우 배우자 및 배우자와 동일한 세대를 이루고 있는 직계존속(배우자의 직계존속 포함) 및 직계비속을 포함
※ 외국인은 주민등록법상 세대주나 세대원이 될 수 없으며, 주민등록 의무 대상이 아니기 때문에 무주택세대구성원이나 세대주 자격을 필요로 하는 주택에 청약신청이 불가능합니다. 만약, 청약신청 하여 당첨될 경우 부적격당첨자로 불이익을 받을 수 있습니다.
상기 무주택세대구성원 요건을 충족해야만 민영주택 특별공급 및 국민주택에 청약할 수 있습니다.
청약신청자 본인의 무주택기간은 만30세 (만30세 이전에 결혼한 경우 혼인신고일)부터 산정합니다.(다만, 다자녀특별공급 무주택기간은 청약신청자가 성년(만19세)이 되는 날부터 산정합니다.)
청약신청자의 배우자는 주민등록 분리세대인 경우에도 배우자 세대가 신청자와 동일한 주민등록표등본에 등재된 것으로 봅니다.
만60세 이상인 직계존속이 주택 또는 분양권등을 소유하고 있는 경우에는 신청자가 주택을 소유하지 않은 것으로 봅니다. 다만 공공임대주택 및 노부모부양 특별공급을 신청하려는 경우에는 주택을 소유한 것으로 봅니다. (주택공급에 관한 규칙 제53조)"
세대	주택공급에 관한 규칙 제2조제2의3호	"주택청약 시 세대 기준

세대는 다음 각 목의 사람(이하 ""세대구성원""이라 함)으로 구성된 집단(주택공급신청자가 세대별 주민등록표에 등재되어 있지 않은 경우는 제외)입니다.

가. 주택공급신청자
나. 주택공급신청자의 배우자
다. 주택공급신청자의 직계존속(배우자의 직계존속 포함) 및 직계비속(직계비속의 배우자 포함)
* 주택공급신청자 또는 주택공급신청자의 배우자와 세대별 주민등록표 상에 함께 등재되어 있는 경우에만 인정
라. 주택공급신청자의 배우자의 직계비속(직계비속의 배우자 포함)
* 주택공급신청자와 세대별 주민등록표상 함께 등재되어 있는 경우에만 인정
예) 신청자와 동일한 주민등록표 상에 등재된 재혼한 배우자의 직계비속 및 직계비속의 배우자

※ 형제,자매,동거인 등은 청약자와 동일한 주민등록표에 등재되어 있어도 청약자의 세대에 속한 자가 아닙니다.

※ 배우자 분리세대인 경우 배우자 및 배우자와 동일한 세대를 이루고 있는 직계존속(배우자의 직계존속 포함) 및 직계비속(직계비속의 배우자 포함)을 포함

세대에 속한 자는 본인의 부모,조부모(직계존속), 배우자의 부모,조부모(직계존속), 자녀, 손자녀(배우자포함)이며 본인의 형제,자매 또는 배우자의 형제,자매는 세대에 속한 자가 아님. 동일한 주민등록표등본에 함께 등재된 배우자의 직계존속과 직계비속의 배우자도 국민 또는 민영주택에 관계없이 세대에 포함됩니다. 청약자의 세대에 속한 자가 아닌분 - 형제, 자매, 동거인등.
세대에 속한 자 여부
(주민등록표상 청약신청자와 함께 등재된 경우)
세대에 속한 자 설명이 나와있는 테이블입니다.
관계	세대에 속한 자 여부
본인	-
배우자	O
직계존속 (부모, 조부모 등)	O
배우자의 직계존속 (배우자의 부모, 조부모 등)	O
자녀, 손자녀 등	O
사위, 며느리	O
형제, 자매	X
배우자의 형제, 자매	X
신청자의 세대별 주민등록표상에 함께 등재된 배우자의 직계존속 및 직계비속의 배우자도 주택유형(국민 또는 민영)에 관계없이 세대에 포함됩니다."
부양가족	주택공급에 관한 규칙 별표1 나목~라목	"주택청약에 있어 부양가족의 개념은 입주자모집공고일 현재 주택공급신청자 또는 배우자(배우자 분리세대 포함)와 같은 세대별 주민등록표에 등재된 세대원[배우자, 직계존속(배우자의 직계존속 포함), 직계비속(미혼인 자녀로 한정)] 중 아래 사항에 해당하는 자(본인 제외)입니다.

배우자 (배우자 분리세대 포함)
직계존속(부모/조부모, 배우자의 직계존속 포함)
청약신청자가 세대주이고 입주자모집공고일을 기준으로 최근 3년 이상 계속하여 같은 세대별 주민등록표등본에 등재된 직계존속
(배우자 분리세대인 경우 배우자가 세대주이어야 하며, 3년 이상 같은 주민등록표등본에 등재된 직계존속)

다만, 직계존속과 그 배우자 중 한 명이라도 주택을 소유(분양권등 포함)하고 있는 경우에는 직계존속과 그 배우자 모두 부양가족으로 보지 않습니다.
이 경우, 「주택공급에 관한 규칙」 제53조제6호(60세 이상의 직계존속이 주택 또는 분양권등을 소유하고 있는 경우)에 해당되는 경우에도 부양가족으로 인정되지 않으나 제6호를 제외한 각 호에 해당하는 경우에는 주택 또는 분양권등을 소유하지 아니한 것으로 인정되어 부양가족으로 봅니다.

부양가족 가점 산정기준의 세부사항은 청약소통방 > 공지사항 > 주택청약 자격 체크리스트(Check List) 참조
주택소유여부 판정기준의 세부사항은 청약제도안내 > 주택청약 용어설명 > 주택소유여부 판정기준 참조
분양권등 : 주택소유로 보는 경우 등 세부사항은 청약제도안내 > 주택청약 용어설명 > 분양권등 참조

직계비속 : 자녀(부모가 모두 사망한 손자녀 포함)는 미혼으로 한정합니다.

* 주택공급신청자의 만30세 이상인 직계비속은 입주자모집공고일을 기준으로 최근 1년 이상 계속하여 주택공급신청자 또는 그 배우자와 같은 세대별 주민등록표에 등재된 경우에 부양가족으로 인정

* 재혼배우자의 자녀는 주택공급신청자와 같은 세대별 주민등록표에 등재된 경우에 부양가족으로 인정

* 혼인 중이거나 혼인한 적이 있는 자녀는 부양가족으로 보지 않음

국토교통부 주택기금과 ‘주택청약 자격 체크리스트(’19.12)’에 따라 외국인 직계비속은 부양가족으로 인정되지 않으며, 내국인 직계비속이라도 해외에 체류중*인 경우에는 부양가족에서 제외합니다.

* 만30세 미만 : 입주자모집공고일 기준 현재 계속하여 90일은 초과하여 해외에 체류중인 경우

* 만30세 이상 : 입주자모집공고일 기준 최근 1년 이내 계속하여 90일을 초과하여 해외에 체류한 경우

자세한 사항은 공고단지 청약연습> 청약가점계산기를 참고하시기 바랍니다."
가점제	주택공급에 관한 규칙 제2조제8호	"가점제는 4개의 가점항목에 대하여 산정한 점수(가점)가 높은 순으로 입주자를 선정하는 것을 말합니다.

가점항목 : 무주택기간(0~15년 이상), 부양가족수(0~6명 이상), 본인 입주자저축가입기간(0~15년 이상), 배우자 입주자저축가입기간(0~2년 이상)
민영주택의 입주자를 선정하는 방식은 가점제 및 추첨제가 있습니다.
민영주택의 주택규모별 가점제 비율은 APT청약안내 : 당첨자 선정 > 민영주택(가점제 ·추첨제)를 참고하시기 바랍니다.
자세한 사항은 공고단지 청약연습 > 청약가점계산기를 참고하시기 바랍니다."
청약순위	주택공급에 관한 규칙 제27~28조	"당첨자(입주자)는 순위별로 선정합니다. 즉, 1순위 청약신청 접수 미달 시에만 2순위 청약신청 접수분 중 당첨자를 선정합니다.(공공주택 제외)

동일한 청약순위 내에서의 당첨자 선정방식은 주택의 종류, 크기 및 주택건설지역에 따라 달라집니다.
자세한 사항은 청약제도안내 > APT > 당첨자 선정을 참고하시기 바랍니다."
